epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2748.6,1.05776,0.92482,1.07232,0.49821,0.53514,0.44243,0.35213,0.7803,0.4975,0.94059,0.0701596,0.0033156,0.0033156
2,6179.34,0.89483,0.5406,0.97435,0.53804,0.6233,0.55902,0.4604,0.76109,0.42735,0.92834,0.0400937,0.00658311,0.00658311
3,9344.63,0.8907,0.53221,0.96821,0.59296,0.6586,0.64574,0.49766,0.86453,0.41025,0.96365,0.00996193,0.00978462,0.00978462
4,12457.6,0.88226,0.50274,0.96274,0.51981,0.7796,0.65418,0.52267,0.74531,0.39995,0.92273,0.009703,0.009703,0.009703
5,15641.7,0.85056,0.45937,0.9523,0.6088,0.774,0.71889,0.58073,0.77087,0.35966,0.93117,0.009604,0.009604,0.009604
6,18737.3,0.82348,0.43807,0.9438,0.62425,0.75259,0.7491,0.60135,0.77339,0.3595,0.92875,0.009505,0.009505,0.009505
7,21839.7,0.80302,0.42389,0.93639,0.55802,0.81832,0.76104,0.61767,0.71641,0.34479,0.91121,0.009406,0.009406,0.009406
8,24764.1,0.79293,0.40525,0.93421,0.73184,0.74311,0.78073,0.63038,0.72119,0.33259,0.91157,0.009307,0.009307,0.009307
9,27804.2,0.77922,0.40213,0.92555,0.70176,0.74407,0.77331,0.63814,0.74608,0.32516,0.91815,0.009208,0.009208,0.009208
10,30826.1,0.77324,0.3911,0.92372,0.74211,0.76597,0.78948,0.64371,0.70472,0.31679,0.90503,0.009109,0.009109,0.009109
11,33322.6,0.76528,0.38515,0.92364,0.74774,0.77471,0.79896,0.65699,0.70895,0.31525,0.90846,0.00901,0.00901,0.00901
12,35591.5,0.7632,0.37711,0.91986,0.74792,0.74112,0.78597,0.65849,0.69359,0.31157,0.90201,0.008911,0.008911,0.008911
13,37758,0.74806,0.37451,0.91498,0.78084,0.76805,0.81886,0.6822,0.69859,0.30351,0.90304,0.008812,0.008812,0.008812
14,40060.7,0.74422,0.36723,0.90994,0.66007,0.88426,0.81099,0.6706,0.68444,0.30321,0.89994,0.008713,0.008713,0.008713
15,42252.6,0.73833,0.36303,0.90965,0.70147,0.79723,0.8246,0.68444,0.70207,0.30019,0.90481,0.008614,0.008614,0.008614
16,88101.2,0.73538,0.3631,0.91218,0.82744,0.72847,0.8343,0.69648,0.69505,0.30519,0.90169,0.008515,0.008515,0.008515
17,90859.5,0.72573,0.35779,0.90773,0.79805,0.79207,0.82573,0.68065,0.68183,0.30561,0.89782,0.008416,0.008416,0.008416
18,93516.4,0.72209,0.35297,0.90515,0.77178,0.80877,0.83054,0.69915,0.67361,0.29202,0.89507,0.008317,0.008317,0.008317
19,97177.8,0.71915,0.34907,0.90491,0.74402,0.80692,0.82727,0.68681,0.67898,0.29228,0.89799,0.008218,0.008218,0.008218
20,102050,0.71493,0.34637,0.90356,0.68768,0.80394,0.79373,0.66373,0.68832,0.29229,0.90125,0.008119,0.008119,0.008119
21,105020,0.70894,0.34,0.89912,0.74014,0.79296,0.81386,0.67986,0.67655,0.28715,0.89609,0.00802,0.00802,0.00802
22,110159,0.70334,0.33886,0.89854,0.80977,0.74145,0.81505,0.68318,0.67393,0.28655,0.8959,0.007921,0.007921,0.007921
23,113448,0.70217,0.3369,0.89766,0.75684,0.78935,0.80547,0.67892,0.68071,0.28445,0.8965,0.007822,0.007822,0.007822
24,115983,0.69313,0.33249,0.89654,0.77054,0.78764,0.80927,0.68378,0.67991,0.28649,0.89874,0.007723,0.007723,0.007723
25,118403,0.69653,0.33204,0.89546,0.77525,0.80935,0.82155,0.69379,0.66873,0.27947,0.89405,0.007624,0.007624,0.007624
26,120696,0.68944,0.32912,0.89709,0.78858,0.74835,0.82077,0.69012,0.66842,0.27692,0.89336,0.007525,0.007525,0.007525
27,122996,0.68993,0.32304,0.89784,0.76424,0.76892,0.80898,0.68514,0.67006,0.27867,0.89433,0.007426,0.007426,0.007426
28,125897,0.68329,0.3243,0.89218,0.7028,0.80114,0.78117,0.66019,0.6646,0.27984,0.89296,0.007327,0.007327,0.007327
